iso_a2,percpop,cty
AO,28.033333,AO
BF,25.066666,BF
BI,26.622223,BI
BJ,28.033333,BJ
CD,26.113333,CD
CF,23.786047,CF
CG,22,CG
CI,24.484694,CI
CM,22,CM
DJ,28.5,DJ
ER,22,ER
ET,26.622223,ET
GA,22,GA
GH,24.32,GH
GM,24.994505,GM
GN,25.566265,GN
GQ,22,GQ
GW,26.14094,GW
KE,22.806583,KE
KM,22.916666,KM
LR,28.532467,LR
MG,24.918478,MG
ML,22,ML
MR,28.033333,MR
MW,26.622223,MW
MZ,26.622223,MZ
NE,22,NE
NG,22.842976,NG
RW,24.994505,RW
SD,22,SD
SL,25.656441,SL
SN,26.610294,SN
SO,22.425198,SO
SS,28.532467,SS
TD,28.532467,TD
TG,22.388235,TG
TZ,22.842976,TZ
UG,24.918478,UG
ZM,26.622223,ZM
ZW,22,ZW
